Num,Name,Current Price,Fair Price,gap,avg_pe,div_yield,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
TFX,,403.21,996.1124081632657,1.4704556141049716,25.282040816326536,0.34,TFX,Teleflex,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",2019-01-18,0000096943,"1943
"
TXN,,173.69,331.8785714285714,0.9107523255718312,16.59392857142857,2.33,TXN,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",,0000097476,"1930
"
TMO,,489.3,1146.334151724138,1.3428043158065357,28.46620689655173,0.18,TMO,Thermo Fisher Scientific,reports,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",,0000097745,"2006 (1902)
"
TJX,,69.0,89.7463,0.3006710144927537,17.192777777777778,0.0,TJX,TJX Companies Inc.,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30,0000109198,"1987
"
TXT,,49.32,100.67808,1.041323600973236,16.450666666666667,0.16,TXT,Textron Inc.,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,"0000217346
","1923
"
TSCO,,156.45,466.62469827586204,1.9825803660969128,20.971896551724136,1.02,TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",2014-01-24,0000916365,"1938
"
TDG,,596.64,977.159422222222,0.6377705521289591,20.015555555555554,0.0,TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,"0001260221
","1993
"
TRV,,147.16,291.3031875000001,0.9794997791519438,9.566607142857142,2.33,TRV,The Travelers Companies Inc.,reports,Financials,Property & Casualty Insurance,"New York, New York",2002-08-21,0000086312,"1853
"
TRMB,,74.72,314.5232946428572,3.2093588683465897,39.56267857142858,0.0,TRMB,Trimble Inc.,reports,Information Technology,Electronic Equipment & Instruments,"Sunnyvale, California",2021-01-21,0000864749,"1978
"
TFC,,53.71,137.21222727272726,1.5546867859379492,11.677636363636365,3.4,TFC,Truist Financial,reports,Financials,Regional Banks,"Charlotte, North Carolina",1997-12-04,0000092230,"1872
"
TYL,,423.12,907.0909666666665,1.1438149146026344,53.64228070175439,0.0,TYL,Tyler Technologies,reports,Information Technology,Application Software,"Plano, Texas",2020-06-22,0000860731,"1966
"
TSN,,69.5,264.02735909090904,2.79895480706344,12.144772727272727,2.62,TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,0000100493,"1935
"
ULTA,,319.08,916.0509920000003,1.870913225523381,32.119600000000005,0.0,ULTA,Ulta Beauty,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016-04-18,0001403568,"1990
"
UDR,,41.73,92.23746744186049,1.2103395025607593,41.362093023255824,3.52,UDR,"UDR, Inc.",reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016-03-07,0000074208,"1972
"
USB,,47.61,134.20954615384613,1.8189360670835144,11.018846153846154,3.54,USB,U.S. Bancorp,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",,0000036104,"1968
"
UNP,,204.65,436.81375454545463,1.1344429735912755,14.392545454545456,1.9,UNP,Union Pacific Corp,reports,Industrials,Railroads,"Omaha, Nebraska",1957-03-04,0000100885,"1862
"
UPS,,166.92,388.42430400000006,1.3270087706685842,18.8464,2.47,UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",2002-07-22,0001090727,"1907
"
